updateDate,code,code_name
2020-07-27,sh.601360,三六零
2020-07-27,sh.601377,兴业证券
2020-07-27,sh.601390,中国中铁
2020-07-27,sh.601398,工商银行
2020-07-27,sh.601555,东吴证券
2020-07-27,sh.601577,长沙银行
2020-07-27,sh.601600,中国铝业
2020-07-27,sh.601601,中国太保
2020-07-27,sh.601607,上海医药
2020-07-27,sh.601618,中国中冶
2020-07-27,sh.601628,中国人寿
2020-07-27,sh.601633,长城汽车
2020-07-27,sh.601658,邮储银行
2020-07-27,sh.601668,中国建筑
2020-07-27,sh.601669,中国电建
2020-07-27,sh.601688,华泰证券
2020-07-27,sh.601698,中国卫通
2020-07-27,sh.601727,上海电气
2020-07-27,sh.601766,中国中车
2020-07-27,sh.601788,光大证券
2020-07-27,sh.601800,中国交建
2020-07-27,sh.601808,中海油服
2020-07-27,sh.601816,京沪高铁
2020-07-27,sh.601818,光大银行
2020-07-27,sh.601828,美凯龙
2020-07-27,sh.601838,成都银行
2020-07-27,sh.601857,中国石油
2020-07-27,sh.601877,正泰电器
2020-07-27,sh.601878,浙商证券
2020-07-27,sh.601881,中国银河
2020-07-27,sh.601888,中国中免
2020-07-27,sh.601898,中煤能源
2020-07-27,sh.601899,紫金矿业
2020-07-27,sh.601901,方正证券
2020-07-27,sh.601916,浙商银行
2020-07-27,sh.601919,中远海控
2020-07-27,sh.601933,永辉超市
2020-07-27,sh.601939,建设银行
2020-07-27,sh.601985,中国核电
2020-07-27,sh.601988,中国银行
2020-07-27,sh.601989,中国重工
2020-07-27,sh.601992,金隅集团
2020-07-27,sh.601997,贵阳银行
2020-07-27,sh.601998,中信银行
2020-07-27,sh.603019,中科曙光
2020-07-27,sh.603156,养元饮品
2020-07-27,sh.603160,汇顶科技
2020-07-27,sh.603259,药明康德
2020-07-27,sh.603260,合盛硅业
2020-07-27,sh.603288,海天味业
2020-07-27,sh.603369,今世缘
2020-07-27,sh.603501,韦尔股份
2020-07-27,sh.603658,安图生物
2020-07-27,sh.603799,华友钴业
2020-07-27,sh.603833,欧派家居
2020-07-27,sh.603899,晨光文具
2020-07-27,sh.603986,兆易创新
2020-07-27,sh.603993,洛阳钼业
2020-07-27,sz.000001,平安银行
2020-07-27,sz.000002,万科A
2020-07-27,sz.000063,中兴通讯
2020-07-27,sz.000066,中国长城
2020-07-27,sz.000069,华侨城A
2020-07-27,sz.000100,TCL科技
2020-07-27,sz.000157,中联重科
2020-07-27,sz.000166,申万宏源
2020-07-27,sz.000333,美的集团
2020-07-27,sz.000338,潍柴动力
2020-07-27,sz.000425,徐工机械
2020-07-27,sz.000538,云南白药
2020-07-27,sz.000568,泸州老窖
2020-07-27,sz.000596,古井贡酒
2020-07-27,sz.000625,长安汽车
2020-07-27,sz.000627,天茂集团
2020-07-27,sz.000651,格力电器
2020-07-27,sz.000656,金科股份
2020-07-27,sz.000661,长春高新
2020-07-27,sz.000671,阳光城
2020-07-27,sz.000703,恒逸石化
2020-07-27,sz.000708,中信特钢
2020-07-27,sz.000709,河钢股份
2020-07-27,sz.000723,美锦能源
2020-07-27,sz.000725,京东方A
2020-07-27,sz.000728,国元证券
2020-07-27,sz.000768,中航飞机
2020-07-27,sz.000776,广发证券
2020-07-27,sz.000783,长江证券
2020-07-27,sz.000786,北新建材
2020-07-27,sz.000858,五粮液
2020-07-27,sz.000860,顺鑫农业
2020-07-27,sz.000876,新希望
2020-07-27,sz.000895,双汇发展
2020-07-27,sz.000938,紫光股份
2020-07-27,sz.000961,中南建设
2020-07-27,sz.000963,华东医药
2020-07-27,sz.000977,浪潮信息
2020-07-27,sz.001979,招商蛇口
2020-07-27,sz.002001,新和成
2020-07-27,sz.002007,华兰生物
2020-07-27,sz.002008,大族激光
2020-07-27,sz.002024,苏宁易购
2020-07-27,sz.002027,分众传媒
2020-07-27,sz.002032,苏泊尔
2020-07-27,sz.002044,美年健康
2020-07-27,sz.002050,三花智控
2020-07-27,sz.002120,韵达股份
2020-07-27,sz.002129,中环股份
2020-07-27,sz.002142,宁波银行
2020-07-27,sz.002146,荣盛发展
2020-07-27,sz.002153,石基信息
2020-07-27,sz.002157,正邦科技
2020-07-27,sz.002179,中航光电
2020-07-27,sz.002202,金风科技
2020-07-27,sz.002230,科大讯飞
2020-07-27,sz.002236,大华股份
2020-07-27,sz.002241,歌尔股份
2020-07-27,sz.002252,上海莱士
2020-07-27,sz.002271,东方雨虹
2020-07-27,sz.002304,洋河股份
2020-07-27,sz.002311,海大集团
2020-07-27,sz.002352,顺丰控股
2020-07-27,sz.002371,北方华创
2020-07-27,sz.002410,广联达
2020-07-27,sz.002415,海康威视
2020-07-27,sz.002422,科伦药业
2020-07-27,sz.002456,欧菲光
2020-07-27,sz.002460,赣锋锂业
2020-07-27,sz.002463,沪电股份
2020-07-27,sz.002466,天齐锂业
2020-07-27,sz.002468,申通快递
2020-07-27,sz.002475,立讯精密
2020-07-27,sz.002493,荣盛石化
2020-07-27,sz.002508,老板电器
2020-07-27,sz.002555,三七互娱
2020-07-27,sz.002558,巨人网络
2020-07-27,sz.002594,比亚迪
2020-07-27,sz.002601,龙蟒佰利
2020-07-27,sz.002602,世纪华通
2020-07-27,sz.002607,中公教育
2020-07-27,sz.002624,完美世界
2020-07-27,sz.002673,西部证券
2020-07-27,sz.002714,牧原股份
2020-07-27,sz.002736,国信证券
2020-07-27,sz.002739,万达电影
2020-07-27,sz.002773,康弘药业
2020-07-27,sz.002841,视源股份
2020-07-27,sz.002916,深南电路
2020-07-27,sz.002938,鹏鼎控股
2020-07-27,sz.002939,长城证券
2020-07-27,sz.002945,华林证券
2020-07-27,sz.002958,青农商行
2020-07-27,sz.003816,中国广核
2020-07-27,sz.300003,乐普医疗
2020-07-27,sz.300014,亿纬锂能
2020-07-27,sz.300015,爱尔眼科
2020-07-27,sz.300033,同花顺
2020-07-27,sz.300059,东方财富
2020-07-27,sz.300122,智飞生物
2020-07-27,sz.300124,汇川技术
2020-07-27,sz.300136,信维通信
2020-07-27,sz.300142,沃森生物
2020-07-27,sz.300144,宋城演艺
2020-07-27,sz.300347,泰格医药
2020-07-27,sz.300408,三环集团
2020-07-27,sz.300413,芒果超媒
2020-07-27,sz.300433,蓝思科技
2020-07-27,sz.300498,温氏股份
2020-07-27,sz.300601,康泰生物
2020-07-27,sz.300628,亿联网络
2020-07-27,sh.600006,东风汽车
2020-07-27,sh.600008,首创股份
2020-07-27,sh.600017,日照港
2020-07-27,sh.600021,上海电力
2020-07-27,sh.600022,山东钢铁
2020-07-27,sh.600026,中远海能
2020-07-27,sh.600037,歌华有线
2020-07-27,sh.600039,四川路桥
2020-07-27,sh.600053,九鼎投资
2020-07-27,sh.600056,中国医药
2020-07-27,sh.600058,五矿发展
2020-07-27,sh.600060,海信视像
2020-07-27,sh.600062,华润双鹤
2020-07-27,sh.600064,南京高科
2020-07-27,sh.600073,上海梅林
2020-07-27,sh.600079,人福医药
2020-07-27,sh.600094,大名城
2020-07-27,sh.600120,浙江东方
2020-07-27,sh.600125,铁龙物流
2020-07-27,sh.600126,杭钢股份
2020-07-27,sh.600132,重庆啤酒
2020-07-27,sh.600138,中青旅
2020-07-27,sh.600141,兴发集团
2020-07-27,sh.600143,金发科技
2020-07-27,sh.600153,建发股份
2020-07-27,sh.600155,华创阳安
2020-07-27,sh.600158,中体产业
2020-07-27,sh.600160,巨化股份
2020-07-27,sh.600161,天坛生物
2020-07-27,sh.600166,福田汽车
2020-07-27,sh.600167,联美控股
2020-07-27,sh.600171,上海贝岭
2020-07-27,sh.600195,中牧股份
2020-07-27,sh.600201,生物股份
2020-07-27,sh.600216,浙江医药
2020-07-27,sh.600256,广汇能源
2020-07-27,sh.600258,首旅酒店
2020-07-27,sh.600259,广晟有色
2020-07-27,sh.600260,凯乐科技
2020-07-27,sh.600266,城建发展
2020-07-27,sh.600273,嘉化能源
2020-07-27,sh.600277,亿利洁能
2020-07-27,sh.600282,南钢股份
2020-07-27,sh.600291,西水股份
2020-07-27,sh.600298,安琪酵母
2020-07-27,sh.600307,酒钢宏兴
2020-07-27,sh.600312,平高电气
2020-07-27,sh.600315,上海家化
2020-07-27,sh.600316,洪都航空
2020-07-27,sh.600325,华发股份
2020-07-27,sh.600329,中新药业
2020-07-27,sh.600335,国机汽车
2020-07-27,sh.600338,西藏珠峰
2020-07-27,sh.600339,中油工程
2020-07-27,sh.600348,阳泉煤业
2020-07-27,sh.600350,山东高速
2020-07-27,sh.600373,中文传媒
2020-07-27,sh.600376,首开股份
2020-07-27,sh.600380,健康元
2020-07-27,sh.600388,龙净环保
2020-07-27,sh.600392,盛和资源
2020-07-27,sh.600409,三友化工
2020-07-27,sh.600410,华胜天成
2020-07-27,sh.600415,小商品城
2020-07-27,sh.600418,江淮汽车
2020-07-27,sh.600426,华鲁恒升
2020-07-27,sh.600428,中远海特
2020-07-27,sh.600435,北方导航
2020-07-27,sh.600446,金证股份
2020-07-27,sh.600460,士兰微
2020-07-27,sh.600466,蓝光发展
2020-07-27,sh.600478,科力远
2020-07-27,sh.600486,扬农化工
2020-07-27,sh.600497,驰宏锌锗
2020-07-27,sh.600500,中化国际
2020-07-27,sh.600507,方大特钢
2020-07-27,sh.600511,国药股份
2020-07-27,sh.600515,海航基础
2020-07-27,sh.600521,华海药业
2020-07-27,sh.600528,中铁工业
2020-07-27,sh.600529,山东药玻
2020-07-27,sh.600535,天士力
2020-07-27,sh.600545,卓郎智能
2020-07-27,sh.600549,厦门钨业
2020-07-27,sh.600557,康缘药业
2020-07-27,sh.600563,法拉电子
2020-07-27,sh.600565,迪马股份
2020-07-27,sh.600566,济川药业
2020-07-27,sh.600567,山鹰纸业
2020-07-27,sh.600572,康恩贝
2020-07-27,sh.600575,淮河能源
2020-07-27,sh.600580,卧龙电驱
2020-07-27,sh.600582,天地科技
2020-07-27,sh.600597,光明乳业
2020-07-27,sh.600598,北大荒
2020-07-27,sh.600623,华谊集团
2020-07-27,sh.600633,浙数文化
2020-07-27,sh.600639,浦东金桥
2020-07-27,sh.600640,号百控股
2020-07-27,sh.600642,申能股份
2020-07-27,sh.600643,爱建集团
2020-07-27,sh.600645,中源协和
2020-07-27,sh.600648,外高桥
2020-07-27,sh.600649,城投控股
2020-07-27,sh.600657,信达地产
2020-07-27,sh.600664,哈药股份
2020-07-27,sh.600667,太极实业
2020-07-27,sh.600673,东阳光
2020-07-27,sh.600675,中华企业
2020-07-27,sh.600694,大商股份
2020-07-27,sh.600699,均胜电子
2020-07-27,sh.600704,物产中大
2020-07-27,sh.600707,彩虹股份
2020-07-27,sh.600717,天津港
2020-07-27,sh.600718,东软集团
2020-07-27,sh.600728,佳都科技
2020-07-27,sh.600729,重庆百货
2020-07-27,sh.600733,北汽蓝谷
2020-07-27,sh.600737,中粮糖业
2020-07-27,sh.600739,辽宁成大
2020-07-27,sh.600748,上实发展
2020-07-27,sh.600751,海航科技
2020-07-27,sh.600754,锦江酒店
2020-07-27,sh.600755,厦门国贸
2020-07-27,sh.600757,长江传媒
2020-07-27,sh.600765,中航重机
2020-07-27,sh.600770,综艺股份
2020-07-27,sh.600776,东方通信
2020-07-27,sh.600777,新潮能源
2020-07-27,sh.600779,水井坊
2020-07-27,sh.600782,新钢股份
2020-07-27,sh.600787,中储股份
2020-07-27,sh.600801,华新水泥
2020-07-27,sh.600804,鹏博士
2020-07-27,sh.600808,马钢股份
2020-07-27,sh.600811,东方集团
2020-07-27,sh.600820,隧道股份
2020-07-27,sh.600823,世茂股份
2020-07-27,sh.600827,百联股份
2020-07-27,sh.600835,上海机电
2020-07-27,sh.600839,四川长虹
2020-07-27,sh.600845,宝信软件
2020-07-27,sh.600859,王府井
2020-07-27,sh.600862,中航高科
2020-07-27,sh.600863,内蒙华电
2020-07-27,sh.600869,智慧能源
2020-07-27,sh.600874,创业环保
2020-07-27,sh.600875,东方电气
2020-07-27,sh.600879,航天电子
2020-07-27,sh.600881,亚泰集团
2020-07-27,sh.600884,杉杉股份
2020-07-27,sh.600885,宏发股份
2020-07-27,sh.600895,张江高科
2020-07-27,sh.600901,江苏租赁
2020-07-27,sh.600903,贵州燃气
2020-07-27,sh.600908,无锡银行
2020-07-27,sh.600909,华安证券
2020-07-27,sh.600917,重庆燃气
2020-07-27,sh.600959,江苏有线
2020-07-27,sh.600967,内蒙一机
2020-07-27,sh.600970,中材国际
2020-07-27,sh.600985,淮北矿业
2020-07-27,sh.600996,贵广网络
2020-07-27,sh.601000,唐山港
2020-07-27,sh.601003,柳钢股份
2020-07-27,sh.601005,重庆钢铁
2020-07-27,sh.601016,节能风电
2020-07-27,sh.601019,山东出版
2020-07-27,sh.601068,中铝国际
2020-07-27,sh.601098,中南传媒
2020-07-27,sh.601099,太平洋
2020-07-27,sh.601106,中国一重
2020-07-27,sh.601118,海南橡胶
2020-07-27,sh.601127,小康股份
2020-07-27,sh.601128,常熟银行
2020-07-27,sh.601139,深圳燃气
2020-07-27,sh.601168,西部矿业
2020-07-27,sh.601179,中国西电
2020-07-27,sh.601200,上海环境
2020-07-27,sh.601228,广州港
2020-07-27,sh.601233,桐昆股份
2020-07-27,sh.601333,广深铁路
2020-07-27,sh.601512,中新集团
2020-07-27,sh.601598,中国外运
2020-07-27,sh.601608,中信重工
2020-07-27,sh.601611,中国核建
2020-07-27,sh.601615,明阳智能
2020-07-27,sh.601678,滨化股份
2020-07-27,sh.601689,拓普集团
2020-07-27,sh.601699,潞安环能
2020-07-27,sh.601717,郑煤机
2020-07-27,sh.601718,际华集团
2020-07-27,sh.601799,星宇股份
2020-07-27,sh.601801,皖新传媒
2020-07-27,sh.601811,新华文轩
2020-07-27,sh.601860,紫金银行
2020-07-27,sh.601865,福莱特
2020-07-27,sh.601866,中远海发
2020-07-27,sh.601869,长飞光纤
2020-07-27,sh.601880,大连港
2020-07-27,sh.601928,凤凰传媒
2020-07-27,sh.601958,金钼股份
2020-07-27,sh.601966,玲珑轮胎
2020-07-27,sh.601969,海南矿业
2020-07-27,sh.601975,招商南油
2020-07-27,sh.603000,人民网
2020-07-27,sh.603025,大豪科技
2020-07-27,sh.603056,德邦股份
2020-07-27,sh.603077,和邦生物
2020-07-27,sh.603198,迎驾贡酒
2020-07-27,sh.603225,新凤鸣
2020-07-27,sh.603228,景旺电子
2020-07-27,sh.603233,大参林
2020-07-27,sh.603256,宏和科技
2020-07-27,sh.603317,天味食品
2020-07-27,sh.603328,依顿电子
2020-07-27,sh.603338,浙江鼎力
2020-07-27,sh.603355,莱克电气
2020-07-27,sh.603377,东方时尚
2020-07-27,sh.603379,三美股份
2020-07-27,sh.603444,吉比特
2020-07-27,sh.603486,科沃斯
2020-07-27,sh.603515,欧普照明
2020-07-27,sh.603517,绝味食品
2020-07-27,sh.603556,海兴电力
2020-07-27,sh.603568,伟明环保
2020-07-27,sh.603605,珀莱雅
2020-07-27,sh.603650,彤程新材
2020-07-27,sh.603659,璞泰来
2020-07-27,sh.603707,健友股份
2020-07-27,sh.603712,七一二
2020-07-27,sh.603766,隆鑫通用
2020-07-27,sh.603786,科博达
2020-07-27,sh.603806,福斯特
2020-07-27,sh.603816,顾家家居
2020-07-27,sh.603858,步长制药
2020-07-27,sh.603866,桃李面包
2020-07-27,sh.603868,飞科电器
2020-07-27,sh.603882,金域医学
2020-07-27,sh.603883,老百姓
2020-07-27,sh.603885,吉祥航空
2020-07-27,sh.603888,新华网
2020-07-27,sh.603939,益丰药房
2020-07-27,sh.603983,丸美股份
2020-07-27,sz.000008,神州高铁
2020-07-27,sz.000009,中国宝安
2020-07-27,sz.000012,南玻A
2020-07-27,sz.000021,深科技
2020-07-27,sz.000025,特力A
2020-07-27,sz.000027,深圳能源
2020-07-27,sz.000028,国药一致
2020-07-27,sz.000031,大悦城
2020-07-27,sz.000039,中集集团
2020-07-27,sz.000046,泛海控股
2020-07-27,sz.000050,深天马A
2020-07-27,sz.000060,中金岭南
2020-07-27,sz.000061,农产品
2020-07-27,sz.000062,深圳华强
2020-07-27,sz.000078,海王生物
2020-07-27,sz.000089,深圳机场
2020-07-27,sz.000090,天健集团
2020-07-27,sz.000156,华数传媒
2020-07-27,sz.000158,常山北明
2020-07-27,sz.000301,东方盛虹
2020-07-27,sz.000400,许继电气
2020-07-27,sz.000401,冀东水泥
2020-07-27,sz.000402,金融街
2020-07-27,sz.000415,渤海租赁
2020-07-27,sz.000488,晨鸣纸业
2020-07-27,sz.000501,鄂武商A
2020-07-27,sz.000513,丽珠集团
2020-07-27,sz.000519,中兵红箭
2020-07-27,sz.000528,柳工
2020-07-27,sz.000537,广宇发展
2020-07-27,sz.000543,皖能电力
2020-07-27,sz.000547,航天发展
2020-07-27,sz.000553,安道麦A
2020-07-27,sz.000559,万向钱潮
2020-07-27,sz.000563,陕国投A
2020-07-27,sz.000564,供销大集
2020-07-27,sz.000581,威孚高科
2020-07-27,sz.000598,兴蓉环境
2020-07-27,sz.000600,建投能源
2020-07-27,sz.000623,吉林敖东
2020-07-27,sz.000629,攀钢钒钛
2020-07-27,sz.000630,铜陵有色
2020-07-27,sz.000636,风华高科
2020-07-27,sz.000681,视觉中国
2020-07-27,sz.000685,中山公用
2020-07-27,sz.000686,东北证券
2020-07-27,sz.000690,宝新能源
2020-07-27,sz.000712,锦龙股份
2020-07-27,sz.000717,韶钢松山
2020-07-27,sz.000718,苏宁环球
2020-07-27,sz.000729,燕京啤酒
2020-07-27,sz.000732,泰禾集团
2020-07-27,sz.000738,航发控制
2020-07-27,sz.000739,普洛药业
2020-07-27,sz.000750,国海证券
2020-07-27,sz.000758,中色股份
2020-07-27,sz.000778,新兴铸管
2020-07-27,sz.000785,居然之家
2020-07-27,sz.000800,一汽解放
2020-07-27,sz.000807,云铝股份
2020-07-27,sz.000813,德展健康
2020-07-27,sz.000825,太钢不锈
2020-07-27,sz.000826,启迪环境
2020-07-27,sz.000830,鲁西化工
2020-07-27,sz.000848,承德露露
2020-07-27,sz.000869,张裕A
2020-07-27,sz.000877,天山股份
2020-07-27,sz.000878,云南铜业
2020-07-27,sz.000883,湖北能源
2020-07-27,sz.000887,中鼎股份
2020-07-27,sz.000898,鞍钢股份
2020-07-27,sz.000930,中粮科技
2020-07-27,sz.000932,华菱钢铁
2020-07-27,sz.000937,冀中能源
2020-07-27,sz.000959,首钢股份
2020-07-27,sz.000960,锡业股份
2020-07-27,sz.000967,盈峰环境
2020-07-27,sz.000970,中科三环
2020-07-27,sz.000975,银泰黄金
2020-07-27,sz.000983,西山煤电
2020-07-27,sz.000987,越秀金控
2020-07-27,sz.000988,华工科技
2020-07-27,sz.000990,诚志股份
2020-07-27,sz.000997,新大陆
2020-07-27,sz.000998,隆平高科
2020-07-27,sz.000999,华润三九
2020-07-27,sz.001872,招商港口
2020-07-27,sz.001914,招商积余
2020-07-27,sz.002002,鸿达兴业
2020-07-27,sz.002004,华邦健康
2020-07-27,sz.002010,传化智联
2020-07-27,sz.002013,中航机电
2020-07-27,sz.002019,亿帆医药
2020-07-27,sz.002028,思源电气
2020-07-27,sz.002030,达安基因
2020-07-27,sz.002038,双鹭药业
2020-07-27,sz.002048,宁波华翔
2020-07-27,sz.002051,中工国际
2020-07-27,sz.002056,横店东磁
2020-07-27,sz.002064,华峰氨纶
2020-07-27,sz.002074,国轩高科
2020-07-27,sz.002075,沙钢股份
2020-07-27,sz.002078,太阳纸业
2020-07-27,sz.002080,中材科技
2020-07-27,sz.002081,金螳螂
2020-07-27,sz.002085,万丰奥威
2020-07-27,sz.002092,中泰化学
2020-07-27,sz.002093,国脉科技
2020-07-27,sz.002110,三钢闽光
2020-07-27,sz.002118,紫鑫药业
2020-07-27,sz.002124,天邦股份
2020-07-27,sz.002127,南极电商
2020-07-27,sz.002128,露天煤业
2020-07-27,sz.002131,利欧股份
2020-07-27,sz.002138,顺络电子
2020-07-27,sz.002152,广电运通
2020-07-27,sz.002155,湖南黄金
2020-07-27,sz.002156,通富微电
2020-07-27,sz.002174,游族网络
2020-07-27,sz.002183,怡亚通
2020-07-27,sz.002185,华天科技
2020-07-27,sz.002191,劲嘉股份
2020-07-27,sz.002195,二三四五
2020-07-27,sz.002203,海亮股份
2020-07-27,sz.002212,南洋股份
2020-07-27,sz.002217,合力泰
2020-07-27,sz.002221,东华能源
2020-07-27,sz.002223,鱼跃医疗
2020-07-27,sz.002233,塔牌集团
2020-07-27,sz.002242,九阳股份
2020-07-27,sz.002244,滨江集团
2020-07-27,sz.002249,大洋电机
2020-07-27,sz.002250,联化科技
2020-07-27,sz.002266,浙富控股
2020-07-27,sz.002268,卫士通
2020-07-27,sz.002273,水晶光电
2020-07-27,sz.002281,光迅科技
2020-07-27,sz.002285,世联行
2020-07-27,sz.002294,信立泰
2020-07-27,sz.002302,西部建设
2020-07-27,sz.002317,众生药业
2020-07-27,sz.002340,格林美
2020-07-27,sz.002353,杰瑞股份
2020-07-27,sz.002368,太极股份
2020-07-27,sz.002372,伟星新材
2020-07-27,sz.002373,千方科技
2020-07-27,sz.002375,亚厦股份
2020-07-27,sz.002382,蓝帆医疗
2020-07-27,sz.002385,大北农
2020-07-27,sz.002387,维信诺
2020-07-27,sz.002390,信邦制药
2020-07-27,sz.002396,星网锐捷
2020-07-27,sz.002399,海普瑞
2020-07-27,sz.002407,多氟多
2020-07-27,sz.002408,齐翔腾达
2020-07-27,sz.002414,高德红外
2020-07-27,sz.002416,爱施德
2020-07-27,sz.002419,天虹股份
2020-07-27,sz.002423,中粮资本
2020-07-27,sz.002424,贵州百灵
2020-07-27,sz.002429,兆驰股份
2020-07-27,sz.002434,万里扬
2020-07-27,sz.002439,启明星辰
2020-07-27,sz.002440,闰土股份
2020-07-27,sz.002444,巨星科技
2020-07-27,sz.002458,益生股份
2020-07-27,sz.002465,海格通信
2020-07-27,sz.002470,*ST金正
2020-07-27,sz.002491,通鼎互联
2020-07-27,sz.002500,山西证券
2020-07-27,sz.002503,搜于特
2020-07-27,sz.002505,大康农业
2020-07-27,sz.002506,协鑫集成
2020-07-27,sz.002507,涪陵榨菜
2020-07-27,sz.002511,中顺洁柔
2020-07-27,sz.002544,杰赛科技
2020-07-27,sz.002557,洽洽食品
2020-07-27,sz.002563,森马服饰
2020-07-27,sz.002572,索菲亚
2020-07-27,sz.002583,海能达
2020-07-27,sz.002589,瑞康医药
2020-07-27,sz.002595,豪迈科技
2020-07-27,sz.002603,以岭药业
2020-07-27,sz.002625,光启技术
2020-07-27,sz.002635,安洁科技
2020-07-27,sz.002640,跨境通
2020-07-27,sz.002648,卫星石化
2020-07-27,sz.002653,海思科
2020-07-27,sz.002665,首航高科
2020-07-27,sz.002670,国盛金控
2020-07-27,sz.002690,美亚光电
2020-07-27,sz.002701,奥瑞金
2020-07-27,sz.002709,天赐材料
2020-07-27,sz.002745,木林森
2020-07-27,sz.002797,第一创业
2020-07-27,sz.002807,江阴银行
2020-07-27,sz.002815,崇达技术
2020-07-27,sz.002818,富森美
2020-07-27,sz.002821,凯莱英
